"","...1","MGG594","MGG618","MGG626","MGG644","MGG724","MGG803","MGG804","MGG886","MGG904","MGG956","MGG1011","MGG1040","MGG1113","MGG1140","MGG1252","MGG1309","MGG1388","MGG1593","MGG2641"
"1","Actinomyces",0,0,0,0,0,0,0,1.070744,0,0,0,0,0,0,0,0,0,0,0
"2","Agathobacter",18.258195,1.709196,0,4.218623,1.231367,0,0,0,3.806561,0,0,1.163243,1.723915,2.952258,1.365996,1.197719,6.395702,0,2.796511
"3","Akkermansia",0,0,0,0,0,1.218812,2.215486,0,0,0,0,7.901494,3.924106,0,1.446144,2.163498,0,2.274421,0
"4","Alistipes",0,2.644038,5.870559,3.244377,6.437676,1.5677,0,0,2.228292,2.869989,0,2.53657,3.859395,4.030143,3.104854,1.621673,2.375836,1.383813,3.456238
"5","Alloprevotella",0,0,0,0,0,0,0,1.536972,0,0,0,0,0,0,0,0,0,3.736295,0
"6","Anaerococcus",0,0,0,0,0,0,0,1.426342,0,0,0,0,0,0,0,0,0,0,0
"7","Anaerofilum",0,0,0,0,0,0,0,0,1.370868,0,0,0,0,0,0,0,0,0,0
"8","Bacteroides",9.896619,14.231263,27.023998,31.951987,31.529488,26.46269,1.95352,16.479978,0,42.022386,14.598028,28.730937,24.271995,21.147518,19.176221,24.526616,16.385567,19.408863,34.855593
"9","Barnesiella",0,2.331087,1.347464,0,1.443796,0,0,0,0,0,0,0,3.349468,0,0,0,0,0,0
"10","Bifidobacterium",6.151568,0,0,0,0,0,0,0,5.640286,0,0,3.053999,13.827557,0,1.895669,0,0,8.597381,0
"11","Blautia",0,0,0,0,0,0,0,0,0,0,2.02681,0,2.283022,0,0,0,0,0,1.576015
"12","Butyricicoccus",0,0,0,0,0,0,1.897384,0,0,1.396728,0,0,0,0,0,0,0,0,0
"13","Catenibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10076,0,5.641699,0
"14","Christensenellaceae_R-7_group",0,0,1.854319,11.443888,0,0,0,0,0,0,0,0,0,0,3.930724,1.526616,0,0,0
"15","Collinsella",1.603395,0,0,0,5.231511,0,0,0,0,0,0,0,0,0,0,0,2.225826,0,1.257147
"16","Coprobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.071568,0
"17","Coprococcus",1.167659,2.72027,0,0,0,0,1.044123,0,1.598503,0,0,0,1.434007,0,1.82249,1.136882,1.378472,0,0
"18","Desulfovibrio",0,1.55272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Dialister",3.272292,7.334296,0,0,0,3.74825,2.814266,1.039136,0,3.076629,0,0,0,0,1.735373,0,0,0,0
"20","Dorea",0,0,0,0,0,0,0,0,0,0,1.372617,0,0,0,0,0,0,0,0
"21","Eggerthella",0,0,0,0,0,0,0,0,0,0,0,0,2.122538,0,0,0,0,0,0
"22","Enterobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.009506,0,0,0
"23","Erysipelatoclostridium",0,0,0,0,0,0,0,0,0,0,0,0,1.516838,0,0,0,0,0,0
"24","Erysipelotrichaceae_UCG-003",0,0,0,0,0,0,0,0,0,0,0,0,11.042373,1.020651,0,0,1.806203,0,2.085471
"25","Escherichia/Shigella",0,0,0,0,0,0,0,7.398408,0,0,0,0,0,8.265369,0,0,0,0,0
"26","Ezakiella",0,0,0,0,0,0,0,1.542899,0,0,0,0,0,0,0,0,0,0,0
"27","Faecalibacterium",1.939453,5.396405,9.183178,7.852232,2.523943,9.86756,9.105198,2.024931,2.744265,6.748302,16.568934,7.298475,1.069034,5.699432,8.802314,8.560837,8.362051,8.806727,15.294678
"28","Flavonifractor",0,0,0,0,1.843451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Fusobacterium",0,0,0,0,0,0,0,5.140362,0,0,0,0,0,0,0,0,0,0,0
"30","Holdemanella",0,0,0,0,0,0,0,1.021356,1.4341,0,0,0,0,0,0,1.617871,0,0,0
"31","Hungatella",0,0,0,0,0,0,0,1.027282,0,0,0,0,0,0,0,0,0,0,0
"32","Klebsiella",0,5.4606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Lachnoclostridium",0,0,0,0,0,0,0,0,0,0,0,0,1.094919,0,0,0,0,0,0
"34","Lachnospira",1.355623,1.18761,1.672499,5.738259,0,0,3.884585,0,4.309887,1.787047,4.506798,0,0,16.459198,3.805276,3.431559,9.483073,3.28212,4.453159
"35","Lachnospiraceae_ND3007_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234543,0,1.32312
"36","Lachnospiraceae_NK4A136_group",0,2.387257,0,0,0,2.465169,1.841248,0,0,0,6.777443,0,0,3.238422,0,0,0,4.59142,1.938865
"37","Lachnospiraceae_UCG-003",0,0,0,0,0,0,0,0,0,0,0,0,0,2.031764,0,1.488593,1.313602,0,0
"38","Lachnospiraceae_UCG-004",0,0,0,0,0,0,0,0,0,0,2.041083,0,0,0,0,0,0,0,0
"39","Lactobacillus",0,0,0,0,0,0,0,0,0,0,1.659272,0,0,0,0,0,0,0,0
"40","Lactococcus",0,0,0,0,0,0,0,0,0,0,1.640241,0,0,0,0,0,0,0,0
"41","Megamonas",1.116396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Mitsuokella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.467681,0,0,0
"43","Monoglobus",0,1.504574,1.455809,0,2.120688,0,0,0,0,0,0,0,0,0,0,0,0,0,1.301129
"44","NK4A214_group",0,0,0,0,0,1.464411,1.145167,0,0,0,0,0,0,0,0,0,0,0,0
"45","Odoribacter",0,0,0,0,0,1.042073,0,0,0,2.265378,0,0,0,0,0,0,0,0,0
"46","Parabacteroides",2.722638,4.329161,7.773447,1.671134,2.383524,1.939541,0,1.473755,0,3.155075,5.083677,1.972456,1.118215,1.096962,4.094505,2.321293,3.569836,2.050882,1.909544
"47","Parasutterella",0,2.010111,0,0,4.331389,0,0,0,0,6.313977,0,2.073607,0,0,0,0,0,1.539935,0
"48","Parvimonas",0,0,0,0,0,0,0,2.641301,0,0,0,0,0,0,0,0,0,0,0
"49","Phascolarctobacterium",0,0,3.894195,0,0,0,0,5.059365,0,0,0,4.691877,1.881811,0,0,3.927757,3.121833,5.666537,2.89547
"50","Porphyromonas",0,0,0,0,0,0,0,2.335092,0,0,0,0,0,0,0,0,0,0,0
"51","Prevotella",29.510438,13.84208,0,0,0,2.132348,34.272669,14.43134,0,0,4.666183,0,0,0,2.376555,1.155894,6.03284,0,0
"52","Pseudobutyrivibrio",2.167288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Rikenellaceae_RC9_gut_group",0,2.692184,0,0,0,0,3.981887,0,0,3.438247,0,0,0,0,0,0,0,0,0
"54","Roseburia",0,0,1.156926,0,0,0,1.05535,0,0,4.41213,3.865688,0,0,2.050842,0,0,2.892763,4.55239,0
"55","Ruminococcus",0,1.02311,1.80326,0,8.569165,1.609016,2.346469,0,0,0,0,10.741519,0,5.365574,3.864515,1.638783,1.027772,0,3.214338
"56","Senegalimassilia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003446,0,0
"57","Slackia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.382526,0,0
"58","Streptococcus",0,0,0,0,0,0,0,3.303108,0,0,3.614716,0,3.465949,3.147804,0,0,0,0,0
"59","Subdoligranulum",1.566371,0,3.841891,2.652372,0,1.271605,1.010441,0,10.058932,1.304889,2.229015,1.167134,0,3.667668,1.115099,1.448669,2.8806,2.480219,2.030494
"60","Succinivibrio",0,0,0,0,0,0,0,2.386456,0,0,0,0,0,0,0,0,0,0,0
"61","Sutterella",0,0,0,1.517306,0,3.504946,0,0,0,0,0,0,0,0,1.33115,1.602662,2.282587,0,1.378097
"62","UBA1819",0,0,0,0,0,0,0,0,0,0,0,0,1.063857,0,0,0,0,0,0
"63","UCG-002",0,2.97705,1.272743,1.256264,0,6.316708,3.667527,1.207057,7.47907,3.082369,2.760696,2.01136,0,0,2.944559,1.893536,1.796067,1.529291,2.503299
"64","UCG-003",0,0,0,0,0,2.690109,0,0,0,0,0,0,0,0,0,0,0,1.04673,1.022577
"65","UCG-005",0,0,0,0,0,0,1.107743,0,0,0,0,0,0,0,0,1.598859,1.133185,0,0
"66","Unclassified",10.132999,14.098861,21.974122,17.126209,21.83697,23.687653,16.747128,10.624469,48.506462,6.997034,15.270063,11.593526,10.281366,11.35594,25.978325,18.585551,11.198054,10.076997,3.426917
